"","district","upazila","union","date","hpa_id","demo_gender","demo_educ","license","license_who","invest_amnt","invest_self","invest_bank","invest_mfi","invest_family","invest_partner","revenue","train_yn","train_maxwashi","train_maxwashii","train_wb","train_ide","train_asa","train_other","serv_growth","serv_businessmodel","serv_ancpnc","serv_other","mou_le","mou_wholesaler"
"86","Patuakhali",7895,789531,2018-07-01,106,"F","Secondary",0,NA,10000,1,0,0,1,0,33000,1,1,1,0,0,0,1,1,1,1,1,1,0
"87","Khulna",4730,473020,2018-07-01,107,"F","Secondary",0,NA,500,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,1,1,0
"88","Khulna",4730,473033,2018-07-01,109,"M","Secondary",0,NA,500,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,1,1,0
"89","Barguna",409,40987,2018-07-01,111,"F","Secondary",0,NA,1000,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,0,1,0
"90","Jessore",4161,416172,2018-07-01,112,"F","Secondary",0,NA,40002,1,0,0,0,0,190000,1,0,1,0,0,0,0,1,1,1,0,1,0
"91","Khulna",4764,476427,2018-07-01,114,"F","Secondary",0,NA,500,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,1,1,0
"92","Satkhira",8704,870434,2018-07-01,115,"F","Secondary",0,NA,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,1,1,0
"93","Satkhira",8782,878251,2018-07-01,116,"F","Higher",0,NA,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,1,1,0
"94","Khulna",4730,473074,2018-07-01,118,"F","Secondary",0,NA,500,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,1,1,0
"95","Satkhira",8782,878267,2018-07-01,119,"F","Secondary",0,NA,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0
"96","Jessore",4104,410442,2018-07-01,120,"F","Secondary",0,NA,1500,1,0,0,0,0,45000,1,0,1,0,0,0,0,1,1,1,1,1,0
"97","Satkhira",8782,878247,2018-07-01,121,"F","Secondary",0,NA,2000,0,0,1,0,0,120000,1,0,1,0,0,0,1,1,1,1,0,1,0
"98","Satkhira",8782,878227,2018-07-01,123,"F","Secondary",0,NA,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,1,1,0
"99","Barguna",409,40923,2018-07-01,124,"F","Secondary",0,NA,10000,1,0,1,0,0,23000,1,1,0,0,0,0,1,1,0,1,1,1,0
"100","Khulna",4730,473020,2018-07-01,125,"F","Secondary",0,NA,500,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,1,1,0
"101","Patuakhali",7895,789531,2018-07-01,127,"F","Primary",0,NA,5000,1,0,0,0,0,29000,1,1,1,0,0,0,0,1,1,1,1,1,0
"102","Barguna",409,40987,2018-07-01,128,"F","Secondary",0,NA,1000,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0
"103","Patuakhali",7857,785755,2018-07-01,129,"F","Secondary",0,NA,1500,1,0,0,0,0,0,1,1,1,0,0,0,0,1,1,1,1,1,0
"104","Patuakhali",7852,785210,2018-07-01,130,"F","Secondary",0,NA,1000,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,1,1,0
"105","Satkhira",8782,878267,2018-07-01,131,"F","Secondary",0,NA,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,1,1,0
"106","Satkhira",8782,878267,2018-07-01,132,"F","Higher",0,NA,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,1,1,0
"107","Patuakhali",7866,786659,2018-07-01,134,"F","Secondary",0,NA,2500,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,1,1,0
"108","Barguna",409,40987,2018-07-01,135,"F","Secondary",0,NA,1000,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,0,1,0
"109","Satkhira",8790,879007,2018-07-01,136,"F","Secondary",0,NA,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,1,1,0
"110","Patuakhali",7897,789783,2018-07-01,137,"F","Secondary",0,NA,6500,1,0,0,0,0,10000,1,0,1,0,0,0,1,1,1,1,1,1,0
"111","Khulna",4730,473006,2018-07-01,140,"F","Secondary",0,NA,500,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,1,1,0
"112","Patuakhali",7866,786629,2018-07-01,141,"F","Secondary",0,NA,6000,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,1,0,1
"113","Satkhira",8782,878227,2018-07-01,142,"F","Secondary",0,NA,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,1,1,0
"114","Jessore",4161,416172,2018-07-01,143,"F","Secondary",0,NA,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,1,1,0
"115","Satkhira",8782,878251,2018-07-01,146,"F","Secondary",0,NA,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,1,1,0
"116","Satkhira",8790,879079,2018-07-01,147,"F","Secondary",0,NA,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,1,1,0
"117","Patuakhali",7897,789783,2018-07-01,148,"F","Secondary",0,NA,5000,1,0,0,0,0,15000,1,0,1,0,0,0,1,1,1,1,1,1,0
"118","Satkhira",8790,879071,2018-07-01,149,"F","Secondary",0,NA,0,1,0,0,0,0,0,1,0,1,0,0,0,1,1,1,1,1,1,0
"119","Patuakhali",7857,785722,2018-07-01,150,"F","Secondary",0,NA,1500,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,1,1,0
"120","Khulna",4730,473074,2018-07-01,151,"F","Secondary",0,NA,400,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,1,1,0
"121","Khulna",4730,473081,2018-07-01,153,"F","Secondary",0,NA,400,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,1,1,0
"122","Satkhira",8790,879007,2018-07-01,154,"F","Secondary",0,NA,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,1,1,0
"123","Barguna",409,40963,2018-07-01,155,"F","Secondary",1,"Union Parishad",1250,1,0,0,0,0,0,1,1,1,0,0,0,1,1,1,1,1,1,0
"124","Patuakhali",7857,785755,2018-07-01,156,"F","Higher",0,NA,1000,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,1,1,0
"125","Khulna",4730,473040,2018-07-01,157,"M","Read & write",0,NA,500,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,1,1,0
"126","Satkhira",8790,879007,2018-07-01,158,"F","Secondary",0,NA,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,1,1,0
"127","Patuakhali",7857,785739,2018-07-01,160,"F","Secondary",0,NA,10000,1,0,0,0,0,134000,1,1,1,0,0,0,1,1,1,1,1,1,0
"128","Khulna",4712,471271,2018-07-01,164,"F","Secondary",0,NA,200,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,1,1,0
"129","Patuakhali",7857,785711,2018-07-01,165,"F","Primary",0,NA,1000,1,0,0,0,0,0,1,1,1,0,0,0,0,1,1,1,1,1,0
"130","Patuakhali",7897,789732,2018-07-01,166,"F","Secondary",0,NA,1000,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,1,1,0
"131","Patuakhali",7895,789540,2018-07-01,167,"F","Secondary",0,NA,500,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,1,1,0
"132","Satkhira",8790,879071,2018-07-01,168,"F","Higher",0,NA,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,1,1,0
"133","Khulna",4712,471283,2018-07-01,169,"F","Secondary",0,NA,4000,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,1,1,0
"134","Patuakhali",7895,789510,2018-07-01,170,"F","Secondary",0,NA,2000,1,0,0,0,0,0,1,0,1,0,0,0,1,1,1,1,1,1,0
"135","Khulna",4730,473088,2018-07-01,171,"F","Higher",0,NA,1000,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,1,1,0
"136","Patuakhali",7895,789533,2018-07-01,173,"F","Secondary",0,NA,500,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,1,1,0
"137","Patuakhali",7895,789574,2018-07-01,174,"F","Secondary",0,NA,1000,1,0,0,0,0,0,1,1,1,0,0,0,0,1,1,1,0,1,0
"138","Khulna",4712,471271,2018-07-01,175,"F","Higher",0,NA,250,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,1,1,0
"139","Patuakhali",7857,785711,2018-07-01,177,"F","Higher",0,NA,2500,1,0,0,0,0,0,1,1,1,0,0,0,0,1,1,1,1,1,0
"140","Satkhira",8743,874347,2018-07-01,178,"F","Higher",0,NA,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,1,1,0
"141","Khulna",4730,473067,2018-07-01,179,"F","Secondary",0,NA,500,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,1,1,0
"142","Patuakhali",7857,785739,2018-07-01,181,"F","Higher",0,NA,1000,1,0,0,0,0,7500,1,1,1,0,0,0,0,1,1,1,0,1,0
"143","Khulna",4730,473033,2018-07-01,182,"F","Secondary",0,NA,500,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,1,1,0
"144","Khulna",4730,473027,2018-07-01,183,"F","Higher",0,NA,1000,1,0,0,0,0,0,1,0,1,0,0,0,1,1,1,1,1,1,1
"145","Khulna",4730,473088,2018-07-01,184,"F","Secondary",0,NA,2000,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,1,1,0
